vernacularName,verbatimScientificName,icelandicName
Redwing,Turdus iliacus,Skógarþröstur
Reed Bunting,Emberiza schoeniclus,Seftittlingur
Ring Ouzel,Turdus torquatus,Mánaþröstur
Ring-billed Gull,Larus delawarensis,Hringmáfur
Ring-necked Duck,Aythya collaris,Hringönd
River Warbler,Locustella fluviatilis,Straumsöngvari
Rock Pigeon,Columba livia,Bjargdúfa
Rock Pipit,Anthus petrosus,Strandtittlingur
Rock Ptarmigan,Lagopus muta,Rjúpa
Rook,Corvus frugilegus,Bláhrafn
Rose-breasted Grosbeak,Pheucticus ludovicianus,Tígultáti
Roseate Tern,Sterna dougallii,Roðaþerna
Ross's Goose,Anser rossii,Mjallgæs
Ross's Gull,Rhodostethia rosea,Rósamáfur
Rosy Starling,Pastor roseus,Rósastari
Rough-legged Hawk,Buteo lagopus,Fjallvákur
Ruby-crowned Kinglet,Regulus calendula,Rauðkollur
Ruddy Duck,Oxyura jamaicensis,Hrókönd
Ruddy Shelduck,Tadorna ferruginea,Ryðönd
Ruddy Turnstone,Arenaria interpres,Tildra
Ruff,Calidris pugnax,Rúkragi
Rustic Bunting,Emberiza rustica,Hrístittlingur
Sabine's Gull,Xema sabini,Þernumáfur
Sanderling,Calidris alba,Sanderla
Sandwich Tern,Thalasseus sandvicensis,Þaraþerna
Scarlet Tanager,Piranga olivacea,Skarlatstáni
Sedge Warbler,Acrocephalus schoenobaenus,Síkjasöngvari
Semipalmated Plover,Charadrius semipalmatus,Kvöldlóa
Semipalmated Sandpiper,Calidris pusilla,Fitjatíta
Short-billed Dowitcher,Limnodromus griseus,Snípuduðra
Short-eared Owl,Asio flammeus,Brandugla
Siberian Rubythroat,Calliope calliope,Fagurgali
Siberian Stonechat,Saxicola maurus,Runnaskvetta
Slaty-backed Gull,Larus schistisagus,Hellumáfur
Smew,Mergellus albellus,Hvítönd
Snow Bunting,Plectrophenax nivalis,Snjótittlingur
Snow Goose,Anser caerulescens,Snjógæs
Snowy Owl,Bubo scandiacus,Snæugla
Solitary Sandpiper,Tringa solitaria,Svölustelkur
Song Thrush,Turdus philomelos,Söngþröstur
Sooty Shearwater,Ardenna grisea,Gráskrofa
Sora,Porzana carolina,Sorarella
Spotted Crake,Porzana porzana,Dílarella
Spotted Flycatcher,Muscicapa striata,Grágrípur
Spotted Redshank,Tringa erythropus,Sótstelkur
Spotted Sandpiper,Actitis macularius,Dílastelkur
Squacco Heron,Ardeola ralloides,Relluhegri
Stejneger's Scoter,Melanitta stejnegeri,Surtönd
Steller's Eider,Polysticta stelleri,Blikönd
Stock Dove,Columba oenas,Holudúfa
Subalpine Warbler,Sylvia cantillans,Kampasöngvari
Surf Scoter,Melanitta perspicillata,Krákönd
Swainson's Thrush,Catharus ustulatus,Moldþröstur
Tawny Pipit,Anthus campestris,Sandtittlingur
Temminck's Stint,Calidris temminckii,Bakkatíta
Tennessee Warbler,Leiothlypis peregrina,Ormskríkja
Thick-billed Murre,Uria lomvia,Stuttnefja
Thrush Nightingale,Luscinia luscinia,Húmgali
Tree Pipit,Anthus trivialis,Trjátittlingur
Tree Swallow,Tachycineta bicolor,Trjásvala
Tufted Duck,Aythya fuligula,Skúfönd
Tundra Bean-Goose,Anser serrirostris,Túndrugæs
Tundra Swan,Cygnus columbianus,Dvergsvanur
Varied Thrush,Ixoreus naevius,Barrþröstur
Velvet Scoter,Melanitta fusca,Korpönd
Water Rail,Rallus aquaticus,Keldusvín
Western Sandpiper,Calidris mauri,Hólmatíta
Western Yellow Wagtail,Motacilla flava,Gulerla
Whimbrel,Numenius phaeopus,Spói
Whinchat,Saxicola rubetra,Vallskvetta
Whiskered Tern,Chlidonias hybrida,Skeggþerna
White Stork,Ciconia ciconia,Hvítstorkur
White Wagtail,Motacilla alba,Maríuerla
White-crowned Sparrow,Zonotrichia leucophrys,Kúftittlingur
White-rumped Sandpiper,Calidris fuscicollis,Vaðlatíta
White-tailed Eagle,Haliaeetus albicilla,Haförn
White-throated Sparrow,Zonotrichia albicollis,Hörputittlingur
White-winged Crossbill,Loxia leucoptera,Víxlnefur
White-winged Scoter,Melanitta deglandi,Kolönd
White-winged Tern,Chlidonias leucopterus,Tígulþerna
Whooper Swan,Cygnus cygnus,Álft
Willow Warbler,Phylloscopus trochilus,Laufsöngvari
Wilson's Phalarope,Phalaropus tricolor,Freyshani
Wilson's Snipe,Gallinago delicata,Flóasnípa
Wilson's Storm-Petrel,Oceanites oceanicus,Hafsvala
Wood Duck,Aix sponsa,Brúðönd
Wood Sandpiper,Tringa glareola,Flóastelkur
Wood Thrush,Hylocichla mustelina,Trjáþröstur
Wood Warbler,Phylloscopus sibilatrix,Grænsöngvari
Woodchat Shrike,Lanius senator,Trjásvarri
Yellow Warbler,Setophaga petechia,Gulskríkja
Yellow-bellied Sapsucker,Sphyrapicus varius,Safaspæta
Yellow-billed Loon,Gavia adamsii,Svalbrúsi
Yellow-breasted Bunting,Emberiza aureola,Víðitittlingur
Yellow-browed Warbler,Phylloscopus inornatus,Hnoðrasöngvari
Yellow-legged Gull,Larus michahellis,Klapparmáfur
Yellow-rumped Warbler,Setophaga coronata,Krúnuskríkja
Yellowhammer,Emberiza citrinella,Gultittlingur
